,Month,Passengers,Predictions
107,1957-12,336,337.2965393066406
108,1958-01,340,341.2929382324219
109,1958-02,318,319.3127746582031
110,1958-03,362,363.273193359375
111,1958-04,348,349.2857666015625
112,1958-05,363,364.27227783203125
113,1958-06,435,436.20758056640625
114,1958-07,491,492.1572570800781
115,1958-08,505,506.1446533203125
116,1958-09,404,405.23541259765625
117,1958-10,359,360.27587890625
118,1958-11,310,311.3199157714844
119,1958-12,337,338.295654296875
120,1959-01,360,361.2749938964844
121,1959-02,342,343.2911682128906
122,1959-03,406,407.233642578125
123,1959-04,396,397.2426452636719
124,1959-05,420,421.2210693359375
125,1959-06,472,473.17431640625
126,1959-07,548,549.1060180664062
127,1959-08,559,560.0960693359375
128,1959-09,463,464.182373046875
129,1959-10,407,408.2327575683594
130,1959-11,362,363.273193359375
131,1959-12,405,406.2345275878906
132,1960-01,417,418.2237548828125
133,1960-02,391,392.24713134765625
134,1960-03,419,420.22198486328125
135,1960-04,461,462.1842041015625
136,1960-05,472,473.17431640625
137,1960-06,535,536.11767578125
138,1960-07,622,623.0394897460938
139,1960-08,606,607.0538940429688
140,1960-09,508,509.1419372558594
141,1960-10,461,462.1842041015625
